This is a test scenario,,,,,,,,,
OSMFILE,iowa_export_2.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
VEHICLE,41.6451,-91.5536,3.21,80,400,10,500,ConventionalVan,car
RVVEHICLE,41.6451,-91.5536,0,80,30,5,100,bike,bike
RVVEHICLE,41.6451,-91.5536,0,80,10,5,50,walk,foot
RVVEHICLE,41.6451,-91.5536,0,80,100,7,750,electric van,car
,Latitude,Longitude,Name (optional),,,,,,
RVPOINT,41.6431,-91.504,Micro Depot 1,,,,,,
RVPOINT,41.6599,-91.5325,Micro Depot 2,,,,,,
RVPOINT,41.6855,-91.6021,Micro Depot 3,,,,,,
RVPOINT,41.6521,-91.575,Micro Depot 4,,,,,,
RVPOINT,41.6681,-91.5247,Micro Depot 5,,,,,,
RVPOINT,41.6793,-91.5897,Micro Depot 6,,,,,,
RVPOINT,41.6582,-91.5345,Micro Depot 7,,,,,,
RVPOINT,41.6599,-91.5325,Micro Depot 8,,,,,,
RVPOINT,41.663,-91.544,Micro Depot 9,,,,,,
RVPOINT,41.6518,-91.5208,Micro Depot 10,,,,,,
RVPOINT,41.6634,-91.5314,Micro Depot 12,,,,,,
RVPOINT,41.6577,-91.5382,Micro Depot 13,,,,,,
,,,,,,,,,
,Latitude,Longitude,Weight,,,,,,
DELIVERY,41.6761,-91.5801,13,,,,,,
DELIVERY,41.666,-91.5536,8,,,,,,
DELIVERY,41.6649,-91.5319,16,,,,,,
DELIVERY,41.6628,-91.5327,11,,,,,,
DELIVERY,41.6631,-91.5327,8,,,,,,
DELIVERY,41.6592,-91.5304,11,,,,,,
DELIVERY,41.6446,-91.5023,4,,,,,,
DELIVERY,41.6607,-91.5333,12,,,,,,
DELIVERY,41.6588,-91.5324,14,,,,,,
DELIVERY,41.6796,-91.5905,3,,,,,,
DELIVERY,41.6884,-91.6017,6,,,,,,
DELIVERY,41.6884,-91.6014,5,,,,,,
DELIVERY,41.6724,-91.5659,15,,,,,,
DELIVERY,41.6716,-91.5658,5,,,,,,
DELIVERY,41.6631,-91.5318,4,,,,,,
DELIVERY,41.6766,-91.5188,7,,,,,,
DELIVERY,41.6613,-91.5361,3,,,,,,
DELIVERY,41.6441,-91.53,12,,,,,,
DELIVERY,41.6727,-91.5667,6,,,,,,
DELIVERY,41.6979,-91.6072,14,,,,,,
DELIVERY,41.6909,-91.6027,8,,,,,,
DELIVERY,41.6637,-91.5303,8,,,,,,
DELIVERY,41.6599,-91.5324,18,,,,,,
DELIVERY,41.6531,-91.5445,11,,,,,,
DELIVERY,41.6481,-91.5442,13,,,,,,
DELIVERY,41.648,-91.5449,7,,,,,,
DELIVERY,41.648,-91.5452,16,,,,,,
DELIVERY,41.6763,-91.5787,10,,,,,,
DELIVERY,41.6458,-91.4915,11,,,,,,
DELIVERY,41.6918,-91.4969,4,,,,,,
DELIVERY,41.647,-91.5313,19,,,,,,
DELIVERY,41.6479,-91.5304,18,,,,,,
DELIVERY,41.6581,-91.5305,11,,,,,,
DELIVERY,41.6043,-91.4611,17,,,,,,
DELIVERY,41.683,-91.5648,16,,,,,,
DELIVERY,41.6651,-91.5354,5,,,,,,
DELIVERY,41.6587,-91.5441,5,,,,,,
DELIVERY,41.6467,-91.5488,17,,,,,,
DELIVERY,41.6466,-91.5488,19,,,,,,
DELIVERY,41.6587,-91.5322,7,,,,,,
