This is a test scenario,,,,,,,,,
OSMFILE,ny_export.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
VEHICLE,40.7354,-73.9901,15,200,800,50,900,ConventionalVan,car
RVVEHICLE,40.7354,-73.9901,0,40,80,10,90,bike,bike
RVVEHICLE,40.7354,-73.9901,0,15,10,5,27,walk,foot
RVVEHICLE,40.7354,-73.9901,0,25,200,20,200,electric van,car
,Latitude,Longitude,Name (optional),,,,,,
RVPOINT,40.7498,-73.9771,Micro Depot 1,,,,,,
RVPOINT,40.6763,-73.9807,Micro Depot 2,,,,,,
RVPOINT,40.8612,-74.1099,Micro Depot 3,,,,,,
RVPOINT,40.7815,-73.9539,Micro Depot 4,,,,,,
RVPOINT,40.6806,-73.7616,Micro Depot 5,,,,,,
RVPOINT,40.7946,-73.9634,Micro Depot 6,,,,,,
RVPOINT,40.8758,-73.9086,Micro Depot 7,,,,,,
RVPOINT,40.7134,-73.7657,Micro Depot 8,,,,,,
RVPOINT,40.8124,-73.9418,Micro Depot 9,,,,,,
RVPOINT,40.61,-73.9548,Micro Depot 10,,,,,,
,,,,,,,,,
,Latitude,Longitude,Weight,,,,,,
DELIVERY,40.8786,-73.9172,16,,,,,,
DELIVERY,40.6901,-73.992,14,,,,,,
DELIVERY,40.7139,-73.9804,8,,,,,,
DELIVERY,40.843,-74.1011,14,,,,,,
DELIVERY,40.7411,-73.9901,14,,,,,,
DELIVERY,40.8808,-73.825,13,,,,,,
DELIVERY,40.7372,-74.0308,12,,,,,,
DELIVERY,40.7266,-74.0437,2,,,,,,
DELIVERY,40.7926,-73.9504,10,,,,,,
DELIVERY,40.7584,-73.9882,9,,,,,,
DELIVERY,40.6695,-73.9624,5,,,,,,
DELIVERY,40.6873,-73.9937,18,,,,,,
DELIVERY,40.7441,-73.924,7,,,,,,
DELIVERY,40.7929,-73.9682,14,,,,,,
DELIVERY,40.8663,-73.9286,3,,,,,,
DELIVERY,40.7963,-73.9701,8,,,,,,
DELIVERY,40.7212,-73.9841,16,,,,,,
DELIVERY,40.7055,-74.0086,13,,,,,,
DELIVERY,40.7157,-73.956,2,,,,,,
DELIVERY,40.7722,-73.9778,11,,,,,,
DELIVERY,40.7094,-73.9507,11,,,,,,
DELIVERY,40.7336,-73.9883,19,,,,,,
DELIVERY,40.721,-73.9407,3,,,,,,
DELIVERY,40.7396,-73.9965,10,,,,,,
DELIVERY,40.7854,-73.9785,16,,,,,,
DELIVERY,40.7866,-73.9718,12,,,,,,
DELIVERY,40.6977,-73.9937,18,,,,,,
DELIVERY,40.7996,-73.9632,12,,,,,,
DELIVERY,40.6978,-73.973,5,,,,,,
DELIVERY,40.6716,-73.9841,19,,,,,,
DELIVERY,40.6384,-74.079,19,,,,,,
DELIVERY,40.7722,-73.9291,2,,,,,,
DELIVERY,40.6806,-73.9506,19,,,,,,
DELIVERY,40.6809,-73.9495,17,,,,,,
DELIVERY,40.6904,-73.9941,10,,,,,,
DELIVERY,40.7792,-73.9778,17,,,,,,
DELIVERY,40.6863,-73.9909,5,,,,,,
DELIVERY,40.682,-73.9765,2,,,,,,
DELIVERY,40.6879,-73.9816,7,,,,,,
DELIVERY,40.6878,-73.9844,17,,,,,,
DELIVERY,40.6742,-73.9997,13,,,,,,
