This is a test scenario,,,,,,,,,
OSMFILE,ny_export.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
VEHICLE,40.7597,-73.9837,10,100,1000,20,1000,ConventionalVan,car
RVVEHICLE,40.7597,-73.9837,0,35,200,5,100,bike,bike
RVVEHICLE,40.7597,-73.9837,0,8,30,3,50,walk,foot
RVVEHICLE,40.7597,-73.9837,0,55,400,8,250,electric van,car
,Latitude,Longitude,Name (optional),,,,,,
RVPOINT,40.7092,-73.9642,Micro Depot 1,,,,,,
RVPOINT,40.8612,-74.1099,Micro Depot 2,,,,,,
RVPOINT,40.7815,-73.9539,Micro Depot 3,,,,,,
RVPOINT,40.8077,-73.9645,Micro Depot 4,,,,,,
RVPOINT,40.7946,-73.9634,Micro Depot 5,,,,,,
RVPOINT,40.8758,-73.9086,Micro Depot 6,,,,,,
RVPOINT,40.6596,-73.9843,Micro Depot 7,,,,,,
RVPOINT,40.61,-73.9548,Micro Depot 8,,,,,,
RVPOINT,40.7176,-73.9961,Micro Depot 9,,,,,,
RVPOINT,40.6171,-73.9095,Micro Depot 10,,,,,,
RVPOINT,40.7289,-73.8629,Micro Depot 11,,,,,,
RVPOINT,40.7187,-73.8414,Micro Depot 12,,,,,,
,,,,,,,,,
,Latitude,Longitude,Weight,,,,,,
DELIVERY,40.7184,-73.99,2,,,,,,
DELIVERY,40.7753,-73.9093,12,,,,,,
DELIVERY,40.7517,-73.9899,17,,,,,,
DELIVERY,40.7861,-73.9506,5,,,,,,
DELIVERY,40.6279,-73.9967,6,,,,,,
DELIVERY,40.8055,-73.9406,9,,,,,,
DELIVERY,40.7304,-73.9807,4,,,,,,
DELIVERY,40.9192,-74.1727,18,,,,,,
DELIVERY,40.7484,-73.9707,7,,,,,,
DELIVERY,40.7431,-73.9781,4,,,,,,
DELIVERY,40.7544,-73.9339,14,,,,,,
DELIVERY,40.882,-73.9021,19,,,,,,
DELIVERY,40.8044,-73.9669,3,,,,,,
DELIVERY,40.7172,-73.9564,7,,,,,,
DELIVERY,40.7121,-73.9981,14,,,,,,
DELIVERY,40.5752,-73.9808,16,,,,,,
DELIVERY,40.7109,-73.7933,6,,,,,,
DELIVERY,40.6785,-74.013,14,,,,,,
DELIVERY,40.7571,-73.8293,19,,,,,,
DELIVERY,40.5761,-74.1662,8,,,,,,
DELIVERY,40.7657,-73.9578,2,,,,,,
DELIVERY,40.7204,-73.9952,14,,,,,,
DELIVERY,40.5988,-74.0792,11,,,,,,
DELIVERY,40.7367,-73.9871,17,,,,,,
DELIVERY,40.7182,-73.9575,15,,,,,,
DELIVERY,40.7329,-73.9939,19,,,,,,
DELIVERY,40.7599,-73.9787,11,,,,,,
DELIVERY,40.8144,-74.2195,5,,,,,,
DELIVERY,40.8132,-74.2164,19,,,,,,
DELIVERY,40.8131,-74.2163,14,,,,,,
DELIVERY,40.7229,-73.9949,8,,,,,,
DELIVERY,40.7049,-74.0087,12,,,,,,
DELIVERY,40.6747,-73.9764,8,,,,,,
DELIVERY,40.7042,-74.0117,18,,,,,,
DELIVERY,40.6748,-73.9818,5,,,,,,
DELIVERY,40.7931,-73.9464,2,,,,,,
DELIVERY,40.7357,-73.9894,9,,,,,,
DELIVERY,40.6904,-73.8141,11,,,,,,
DELIVERY,40.8224,-73.8966,15,,,,,,
DELIVERY,40.6012,-74.0044,9,,,,,,
DELIVERY,40.7664,-73.9128,18,,,,,,
DELIVERY,40.7666,-73.913,2,,,,,,
DELIVERY,40.6928,-73.9405,14,,,,,,
DELIVERY,40.7697,-73.9111,16,,,,,,
DELIVERY,40.7035,-73.9315,13,,,,,,
DELIVERY,40.891,-73.8585,16,,,,,,
DELIVERY,40.6673,-73.9815,16,,,,,,
DELIVERY,40.7147,-73.9982,12,,,,,,
DELIVERY,40.7268,-73.9907,14,,,,,,
DELIVERY,40.7504,-73.9674,10,,,,,,
DELIVERY,40.7413,-73.9816,3,,,,,,
DELIVERY,40.6782,-73.9857,13,,,,,,
DELIVERY,40.6729,-73.9764,13,,,,,,
DELIVERY,40.6847,-73.9784,11,,,,,,
DELIVERY,40.7092,-73.8988,2,,,,,,
DELIVERY,40.7133,-73.9006,18,,,,,,
DELIVERY,40.7024,-73.9008,12,,,,,,
DELIVERY,40.7088,-73.9065,14,,,,,,
DELIVERY,40.7564,-73.9213,4,,,,,,
DELIVERY,40.7052,-73.8965,18,,,,,,
DELIVERY,40.6781,-73.9791,15,,,,,,
DELIVERY,40.6828,-73.9821,15,,,,,,
DELIVERY,40.6797,-73.9822,8,,,,,,
DELIVERY,40.6308,-74.0223,14,,,,,,
DELIVERY,40.6176,-73.9849,2,,,,,,
DELIVERY,40.7081,-73.8976,3,,,,,,
DELIVERY,40.6852,-73.9798,7,,,,,,
DELIVERY,40.889,-74.2598,5,,,,,,
DELIVERY,40.8894,-74.2591,3,,,,,,
DELIVERY,40.8933,-74.2472,9,,,,,,
DELIVERY,40.6782,-73.9794,11,,,,,,
DELIVERY,40.6384,-74.0171,10,,,,,,
DELIVERY,40.8751,-73.8793,13,,,,,,
DELIVERY,40.6184,-73.9911,9,,,,,,
DELIVERY,40.8673,-73.8966,18,,,,,,
DELIVERY,40.7299,-73.9928,8,,,,,,
DELIVERY,40.7779,-73.9522,12,,,,,,
DELIVERY,40.6755,-73.9813,10,,,,,,
DELIVERY,40.7035,-73.8922,15,,,,,,
DELIVERY,40.7008,-73.8923,14,,,,,,
DELIVERY,40.7052,-73.9209,19,,,,,,
DELIVERY,40.7015,-73.9234,16,,,,,,
DELIVERY,40.7726,-73.9528,7,,,,,,
