This is a test scenario,,,,,,,,,
OSMFILE,iowa_export.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
VEHICLE,41.6448,-91.551,5,100,400,10,500,ConventionalVan,car
RVVEHICLE,41.6448,-91.551,1,20,30,3,100,bike,bike
RVVEHICLE,41.6448,-91.551,0,10,10,2,50,walk,foot
RVVEHICLE,41.6448,-91.551,2,60,100,7,200,electric van,car
,Latitude,Longitude,Name (optional),,,,,,
RVPOINT,41.6431,-91.504,Micro Depot 1,,,,,,
RVPOINT,41.6599,-91.5325,Micro Depot 2,,,,,,
RVPOINT,41.6855,-91.6021,Micro Depot 3,,,,,,
RVPOINT,41.6521,-91.575,Micro Depot 4,,,,,,
RVPOINT,41.6681,-91.5247,Micro Depot 5,,,,,,
RVPOINT,41.6793,-91.5897,Micro Depot 6,,,,,,
RVPOINT,41.6599,-91.5325,Micro Depot 7,,,,,,
RVPOINT,41.6518,-91.5208,Micro Depot 8,,,,,,
RVPOINT,41.6634,-91.5314,Micro Depot 9,,,,,,
RVPOINT,41.6577,-91.5382,Micro Depot 10,,,,,,
,,,,,,,,,
,Latitude,Longitude,Weight,,,,,,
DELIVERY,41.6447,-91.5025,13,,,,,,
DELIVERY,41.6761,-91.5801,17,,,,,,
DELIVERY,41.663,-91.5327,6,,,,,,
DELIVERY,41.666,-91.5536,11,,,,,,
DELIVERY,41.6639,-91.5349,11,,,,,,
DELIVERY,41.6435,-91.5059,11,,,,,,
DELIVERY,41.6493,-91.5016,18,,,,,,
DELIVERY,41.6607,-91.5333,5,,,,,,
DELIVERY,41.6818,-91.5917,19,,,,,,
DELIVERY,41.6588,-91.5324,8,,,,,,
DELIVERY,41.6796,-91.5905,16,,,,,,
DELIVERY,41.6884,-91.6014,10,,,,,,
DELIVERY,41.6724,-91.5659,3,,,,,,
DELIVERY,41.6716,-91.5658,14,,,,,,
DELIVERY,41.6433,-91.5313,7,,,,,,
DELIVERY,41.6631,-91.5318,12,,,,,,
DELIVERY,41.6613,-91.5361,15,,,,,,
DELIVERY,41.6441,-91.53,14,,,,,,
DELIVERY,41.6727,-91.5667,9,,,,,,
DELIVERY,41.6989,-91.5661,17,,,,,,
DELIVERY,41.6979,-91.6072,7,,,,,,
DELIVERY,41.6909,-91.6027,5,,,,,,
DELIVERY,41.6637,-91.5303,8,,,,,,
DELIVERY,41.6531,-91.5445,8,,,,,,
DELIVERY,41.6702,-91.5678,12,,,,,,
DELIVERY,41.6481,-91.5445,10,,,,,,
DELIVERY,41.648,-91.545,3,,,,,,
DELIVERY,41.648,-91.5452,12,,,,,,
DELIVERY,41.6634,-91.5453,7,,,,,,
DELIVERY,41.6423,-91.5089,6,,,,,,
DELIVERY,41.6592,-91.5343,9,,,,,,
DELIVERY,41.6488,-91.4996,18,,,,,,
DELIVERY,41.642,-91.5048,9,,,,,,
DELIVERY,41.6844,-91.5035,12,,,,,,
DELIVERY,41.6918,-91.4969,5,,,,,,
DELIVERY,41.647,-91.5313,3,,,,,,
DELIVERY,41.6912,-91.6,9,,,,,,
DELIVERY,41.6427,-91.5296,10,,,,,,
DELIVERY,41.6581,-91.5305,2,,,,,,
DELIVERY,41.6043,-91.4611,7,,,,,,
DELIVERY,41.6651,-91.5354,12,,,,,,
DELIVERY,41.6587,-91.5441,7,,,,,,
DELIVERY,41.6653,-91.5373,14,,,,,,
DELIVERY,41.6467,-91.5488,9,,,,,,
DELIVERY,41.6466,-91.5488,4,,,,,,
DELIVERY,41.6467,-91.5488,16,,,,,,
DELIVERY,41.6466,-91.5488,13,,,,,,
DELIVERY,41.6703,-91.5673,19,,,,,,
