This is a test scenario,,,,,,,,,
OSMFILE,ny_export.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
VEHICLE,40.7597,-73.9837,10,100,2000,50,8000,ConventionalVan,car
RVVEHICLE,40.7597,-73.9837,1,60,100,10,500,bike,bike
RVVEHICLE,40.7597,-73.9837,0,10,50,5,50,walk,foot
RVVEHICLE,40.7597,-73.9837,2,80,500,25,1000,electric van,car
,Latitude,Longitude,Name (optional),,,,,,
RVPOINT,40.6786,-73.9589,Micro Depot 1,,,,,,
RVPOINT,40.724,-74.0643,Micro Depot 2,,,,,,
RVPOINT,40.7498,-73.9771,Micro Depot 3,,,,,,
RVPOINT,40.6763,-73.9807,Micro Depot 4,,,,,,
RVPOINT,40.7815,-73.9539,Micro Depot 5,,,,,,
RVPOINT,40.8077,-73.9645,Micro Depot 6,,,,,,
RVPOINT,40.5979,-73.748,Micro Depot 7,,,,,,
RVPOINT,40.8758,-73.9086,Micro Depot 8,,,,,,
RVPOINT,40.6351,-74.0097,Micro Depot 9,,,,,,
RVPOINT,40.7824,-73.9152,Micro Depot 10,,,,,,
RVPOINT,40.7134,-73.7657,Micro Depot 11,,,,,,
RVPOINT,40.8124,-73.9418,Micro Depot 12,,,,,,
,,,,,,,,,
,Latitude,Longitude,Weight,,,,,,
DELIVERY,40.8786,-73.9172,10,,,,,,
DELIVERY,40.6901,-73.992,19,,,,,,
DELIVERY,40.843,-74.1011,4,,,,,,
DELIVERY,40.7266,-74.0437,18,,,,,,
DELIVERY,40.7215,-73.9999,17,,,,,,
DELIVERY,40.7926,-73.9504,9,,,,,,
DELIVERY,40.7584,-73.9882,16,,,,,,
DELIVERY,40.6695,-73.9624,18,,,,,,
DELIVERY,40.6777,-73.9686,3,,,,,,
DELIVERY,40.6873,-73.9937,13,,,,,,
DELIVERY,40.7441,-73.924,14,,,,,,
DELIVERY,40.7929,-73.9682,15,,,,,,
DELIVERY,40.8663,-73.9286,8,,,,,,
DELIVERY,40.7963,-73.9701,18,,,,,,
DELIVERY,40.7091,-74.0091,16,,,,,,
DELIVERY,40.7055,-74.0086,5,,,,,,
DELIVERY,40.7157,-73.956,13,,,,,,
DELIVERY,40.7722,-73.9778,18,,,,,,
DELIVERY,40.7217,-73.9885,6,,,,,,
DELIVERY,40.7094,-73.9507,16,,,,,,
DELIVERY,40.7336,-73.9883,10,,,,,,
DELIVERY,40.721,-73.9407,15,,,,,,
DELIVERY,40.7396,-73.9965,9,,,,,,
DELIVERY,40.7866,-73.9718,4,,,,,,
DELIVERY,40.6977,-73.9937,16,,,,,,
DELIVERY,40.7996,-73.9632,14,,,,,,
DELIVERY,40.6978,-73.973,8,,,,,,
DELIVERY,40.7722,-73.9291,8,,,,,,
DELIVERY,40.6806,-73.9506,13,,,,,,
DELIVERY,40.6904,-73.9941,12,,,,,,
DELIVERY,40.889,-73.831,8,,,,,,
DELIVERY,40.6863,-73.9909,19,,,,,,
DELIVERY,40.682,-73.9765,16,,,,,,
DELIVERY,40.6879,-73.9816,2,,,,,,
DELIVERY,40.6742,-73.9997,3,,,,,,
DELIVERY,40.7106,-73.7928,17,,,,,,
DELIVERY,40.7112,-73.7911,4,,,,,,
DELIVERY,40.7103,-73.7929,2,,,,,,
DELIVERY,40.721,-73.9891,8,,,,,,
DELIVERY,40.7141,-73.9802,4,,,,,,
DELIVERY,40.6442,-73.9758,4,,,,,,
DELIVERY,40.6661,-73.992,13,,,,,,
DELIVERY,40.7192,-73.9895,11,,,,,,
DELIVERY,40.6729,-73.9501,17,,,,,,
DELIVERY,40.6671,-73.9812,8,,,,,,
DELIVERY,40.6752,-73.9631,2,,,,,,
DELIVERY,40.7353,-73.9985,16,,,,,,
DELIVERY,40.7494,-73.89,2,,,,,,
DELIVERY,40.7495,-73.8889,17,,,,,,
DELIVERY,40.7499,-73.8845,14,,,,,,
DELIVERY,40.6874,-73.9768,16,,,,,,
DELIVERY,40.6868,-73.9754,19,,,,,,
DELIVERY,40.6861,-73.9736,16,,,,,,
DELIVERY,40.6785,-73.9688,6,,,,,,
DELIVERY,40.8244,-73.948,19,,,,,,
DELIVERY,40.7695,-73.961,7,,,,,,
DELIVERY,40.677,-73.9693,6,,,,,,
DELIVERY,40.737,-73.9955,4,,,,,,
DELIVERY,40.769,-73.9631,18,,,,,,
DELIVERY,40.745,-73.9789,6,,,,,,
DELIVERY,40.7489,-73.9762,7,,,,,,
DELIVERY,40.7694,-73.9631,12,,,,,,
DELIVERY,40.777,-73.9536,4,,,,,,
DELIVERY,40.7906,-73.9751,3,,,,,,
DELIVERY,40.7943,-73.9725,5,,,,,,
DELIVERY,40.7951,-73.9718,16,,,,,,
DELIVERY,40.8006,-73.9677,16,,,,,,
DELIVERY,40.71,-73.8474,10,,,,,,
DELIVERY,40.8812,-74.2278,15,,,,,,
DELIVERY,40.8377,-73.9383,3,,,,,,
DELIVERY,40.8384,-73.9134,9,,,,,,
DELIVERY,40.7422,-73.9949,17,,,,,,
DELIVERY,40.7147,-73.9916,18,,,,,,
DELIVERY,40.8036,-73.9637,18,,,,,,
DELIVERY,40.6779,-74.012,14,,,,,,
DELIVERY,40.7113,-73.9461,7,,,,,,
DELIVERY,40.7149,-73.9446,4,,,,,,
DELIVERY,40.7261,-73.9522,10,,,,,,
DELIVERY,40.7438,-73.922,13,,,,,,
DELIVERY,40.6966,-73.7436,7,,,,,,
DELIVERY,40.7065,-73.7954,16,,,,,,
DELIVERY,40.7084,-73.8306,19,,,,,,
DELIVERY,40.8065,-73.942,4,,,,,,
DELIVERY,40.7097,-74.0065,5,,,,,,
DELIVERY,40.7184,-73.99,18,,,,,,
DELIVERY,40.8422,-74.2084,5,,,,,,
DELIVERY,40.732,-73.9836,5,,,,,,
DELIVERY,40.7773,-73.9553,15,,,,,,
DELIVERY,40.7753,-73.9093,11,,,,,,
DELIVERY,40.7597,-73.9366,8,,,,,,
DELIVERY,40.6279,-73.9967,5,,,,,,
DELIVERY,40.8055,-73.9406,13,,,,,,
DELIVERY,40.7304,-73.9807,16,,,,,,
DELIVERY,40.7307,-73.9813,16,,,,,,
DELIVERY,40.9192,-74.1727,6,,,,,,
DELIVERY,40.7484,-73.9707,8,,,,,,
DELIVERY,40.7511,-73.9715,10,,,,,,
DELIVERY,40.7431,-73.9781,6,,,,,,
DELIVERY,40.7437,-73.9819,3,,,,,,
DELIVERY,40.7544,-73.9339,6,,,,,,
DELIVERY,40.882,-73.9021,16,,,,,,
DELIVERY,40.7638,-73.9912,2,,,,,,
DELIVERY,40.6726,-73.9773,4,,,,,,
DELIVERY,40.7172,-73.9564,9,,,,,,
DELIVERY,40.7518,-73.9148,16,,,,,,
DELIVERY,40.5733,-73.9803,19,,,,,,
DELIVERY,40.5752,-73.9808,13,,,,,,
DELIVERY,40.7457,-74.0054,17,,,,,,
DELIVERY,40.7364,-73.9977,7,,,,,,
